Country Name,2005,2006,2007,2008,2009,2010
Lebanon,2384.884015,2296.964553,2396.72086,2559.423432,2729.467906,3046.195244
Liberia,,,,,,
Libya,3427.887521,3792.335287,3792.771825,3156.431865,3142.328146,3361.748865
St. Lucia,,,,,,
Latin America & Caribbean,1755.46308,1802.779197,1864.206588,1917.587563,1897.86533,1988.326579
Least developed countries: UN classification,130.8159958,141.4065855,146.4646327,147.509402,155.4000252,169.6653457
Low income,,,,,,
Liechtenstein,,,,,,
Sri Lanka,400.1025736,403.0772375,420.3196001,426.3914543,425.124685,459.6841594
Lower middle income,556.4449695,588.3890171,615.481966,629.1867473,649.328758,693.1227778
Low & middle income,1234.780361,1331.710396,1427.654479,1467.731987,1500.636248,1628.131093
Lesotho,,,,,,
Late-demographic dividend,2134.429246,2341.212322,2556.014798,2657.555498,2740.516212,3011.270805
Lithuania,3187.03108,3353.304327,3564.206785,3733.626495,3622.290317,3470.78503
Luxembourg,15644.14672,16456.60412,16352.3218,15937.78778,14425.96473,16829.96254
Latvia,2777.38198,2966.609973,3169.077295,3213.12144,3026.611489,3229.951062
"Macao SAR, China",,,,,,
St. Martin (French part),,,,,,
Morocco,634.4653684,688.1744529,717.2775222,733.5238472,745.7150278,775.9546744
Monaco,,,,,,
Moldova,2549.071002,2696.438833,2485.184078,2524.787619,2166.98681,2144.689107
Madagascar,,,,,,
Maldives,,,,,,
Middle East & North Africa,2147.572747,2264.399969,2333.771813,2415.221784,2469.342226,2659.041195
Mexico,1996.392649,2020.952833,2047.531099,2046.69443,1995.298295,2018.827437
Marshall Islands,,,,,,
Middle income,1289.203767,1392.22763,1494.85732,1538.195322,1574.599262,1709.3635
North Macedonia,3413.105007,3488.825759,3660.280912,3712.935378,3452.04082,3601.452844
Mali,,,,,,
Malta,4912.90976,4897.510042,4873.083467,4836.593963,4434.186633,4767.097378
Myanmar,74.85199519,88.33483442,89.45722879,94.15248761,99.36246036,124.3062687
Middle East & North Africa (excluding high income),1310.755193,1387.051816,1423.195764,1460.940156,1496.507053,1626.69688
Montenegro,6314.905228,6451.770253,6564.643799,6287.187849,5010.561319,5419.51607
Mongolia,1251.96473,1298.628214,1332.783822,1423.686851,1377.817438,1488.656577
Northern Mariana Islands,,,,,,
Mozambique,451.0116582,459.0109311,459.8280494,443.4250188,443.7704802,453.3059783
Mauritania,,,,,,
Mauritius,1683.690833,1743.117482,1816.671103,1881.649775,1907.12257,1995.361484
Malawi,,,,,,
Malaysia,2873.734241,3065.572896,3272.896663,3286.091575,3942.089425,4145.521977
North America,14023.67911,13871.14348,13955.28481,13930.9151,13164.35199,13580.59419
Namibia,1521.423751,1606.539381,1606.266783,1638.949545,1583.343705,1586.217605
New Caledonia,,,,,,
Niger,36.69866448,34.85584563,39.08642895,39.21076725,42.60521484,44.21761993
Nigeria,129.3270312,111.7524163,138.9094166,127.2446137,120.6350712,136.4262652
Nicaragua,412.4153381,424.7557518,458.4919033,471.8182967,477.4139515,506.519681
Netherlands,6912.372085,7025.834479,7157.378577,7173.046299,6856.281897,7006.273821
Norway,25083.21453,24099.93226,24855.00046,24866.13431,23859.70958,24890.92401
Nepal,77.06500418,83.82346403,87.63356253,83.47526816,96.93667101,102.5424342
Nauru,,,,,,
New Zealand,9673.673771,9700.090809,9640.607983,9556.317198,9403.848836,9601.903142
