Country Name,2005,2006,2007,2008,2009,2010
Mauritius,960,940,920,910,910,910
Malawi,51800,52850,49850,54350,54850,56850
Malaysia,71344.1,70752,71072,71504,72200,73893
North America,4745960,4734832,4728660,4703346,4678033,4652720
Namibia,388200,388200,388080,388080,388080,388090
New Caledonia,2301,2246,2181,2106,2056,1986
Niger,429650,429890,437820,437820,437820,439820
Nigeria,670004.9,671637.96,673271.02,674904.08,676537.14,678170.2
Nicaragua,53060,52000,51850,51200,51050,50260
Netherlands,19377,19196,19144,19293,19174,18723
Norway,10360,10350,10320,10248,10142.6,10059
Nepal,42020,41850,41660,41520,41400,41260
Nauru,4,4,4,4,4,4
New Zealand,117120,113750,114870,113740,114900,114080
OECD members,12873072.8,12830447.1,12690711.2,12545897.3,12448283.5,12311953.9
Oman,14650,14630,14650,14572,14544,14432
Other small states,782461.2,781806.74,781626.28,782855.32,784018.96,783592.7
Pakistan,359650,361350,360130,353130,352770,352420
Panama,22300,22244,22318,22292,22316,22663.9
Peru,239928,241527,243126,244735,246334,247943
Philippines,113550,115800,117900,120100,121000,121000
Palau,43,43,43,43,43,43
Papua New Guinea,10300,10400,10400,11900,11900,11900
Poland,159060,159570,154690,156010,156190,144490
Pre-demographic dividend,8267643.2,8290879.88,8322406.36,8362003.54,8405828.02,8452084.7
Puerto Rico,2024,1958,1890,1907,1923,1939
"Korea, Dem. People's Rep.",26000,26000,26000,26500,26700,26800
Portugal,38238.9,37576.6,36609.2,37258.6,36955.8,36541.7
Paraguay,155451.4,156351.4,157251.4,158221.4,159231.4,160451.4
West Bank and Gaza,4908,4847,4805,4772,4263,3749
Pacific island small states,7627,7631,7577,7534,7502,7621
Post-demographic dividend,11176709.4,11143854.6,11013855.2,10899684.3,10810074.3,10694139.6
French Polynesia,450,450,450,450,445,445
Qatar,646,653,660,667,674,681
Romania,141800,140390,136300,136340,136210,141560
Russian Federation,2156800,2154880,2154630,2154940,2154940,2154940
Rwanda,17829,18029.5,18048.8,18074.4,18088.7,18039.2
South Asia,2706260,2704400,2699350,2695083,2697780,2692399
Saudi Arabia,1737170,1736740,1736750,1735720,1734350,1734060
Sudan,1352200,1360530,1366150,1366980,1372658,1372462
Senegal,87760,84880,85030,92750,94880,94580
Singapore,7.6,7.5,8,7,7,7.4
Solomon Islands,890,940,940,970,1010,1070
Sierra Leone,38120.2,40298.8,36237.2,37122.3,38009.7,39303.8
El Salvador,12817,12749,12942,12853,12764,12675
